community,House Size (sqft),Year Built,House Value,House Value per Sqft,LAT,LNG
CALHOUN-ISLE,2415.0707295373663,1940.232502965599,525966.3701067616,217.78507920035796,44.959319,-93.306924
CAMDEN,1931.8472551241116,1936.0819857863837,173586.0129776496,89.85493677992547,45.032955,-93.3003
CENTRAL,1223.0950717889018,1975.807786832234,381523.5027810115,311.9328264670336,44.97651,-93.27046899999999
LONGFELLOW,1949.8292183548115,1928.3554137058895,291723.01577742986,149.61464985306466,44.948282,-93.227425
NEAR NORTH,2201.4476365458495,1937.533322198096,177547.45281443128,80.65031839367737,44.993190999999996,-93.293128
NOKOMIS,2093.1123784199845,1938.4094185151494,304767.8678888811,145.605114675658,44.906686,-93.23768000000001
NORTHEAST,2004.9852410995943,1936.1027489860298,262494.19783686346,130.92076313384916,45.015793,-93.249438
PHILLIPS,1844.164525993884,1940.125993883792,184131.80428134557,99.84564917390469,44.956520000000005,-93.25705400000001
POWDERHORN,1882.6056711546307,1927.9573643410852,233263.9330885353,123.9048286439459,44.938932,-93.25848
SOUTHWEST,2457.2856787048568,1934.5506226650061,468208.9165628892,190.53906536811974,44.916219,-93.298635
UNIVERSITY,1741.9095298602288,1952.7697585768742,329684.75222363404,189.26628884686568,44.976498,-93.230213
