Community,Rank Stars,Rank Statewide,Free Discount Lunch,Average Standard Score,Student Population,Students Per Teacher
Calhoun-Isle,1.0,18.3725,64.77,21.349087500000003,444.0,14.2
Camden,0.2,7.562,69.02714285714286,8.295138,431.42857142857144,13.299999999999999
Central,0.5,19.29,70.376,22.734154999999998,137.83333333333334,11.620000000000001
Longfellow,1.6666666666666667,31.71666666666667,67.2090909090909,34.067445,272.85714285714283,14.470000000000002
Near North,0.0,3.0471428571428567,72.55714285714286,3.7631628571428566,157.1764705882353,9.010000000000002
Nokomis,4.0,77.38999999999999,27.553999999999995,74.2277825,480.2,18.360000000000003
Northeast,0.8571428571428571,20.754285714285714,69.60000000000001,24.382581428571427,261.7142857142857,12.2
Phillips,0.0,2.56,60.946666666666665,2.873,312.6666666666667,11.05
Powderhorn,0.4444444444444444,10.859999999999998,73.45692307692308,12.050402222222221,436.53333333333336,12.591666666666663
Southwest,3.6,70.81500000000001,27.779090909090908,70.41942,725.3846153846154,18.80909090909091
University,0.5,11.825,71.44,14.364195,121.0,12.733333333333334
